,       MaxEStateIndex,       MinEStateIndex,    MaxAbsEStateIndex,    MinAbsEStateIndex,                  qed,                MolWt,       HeavyAtomMolWt,           ExactMolWt,  NumValenceElectrons,  NumRadicalElectrons,     MaxPartialCharge,     MinPartialCharge,  MaxAbsPartialCharge,  MinAbsPartialCharge,     FpDensityMorgan1,     FpDensityMorgan2,     FpDensityMorgan3,             BalabanJ,              BertzCT,                 Chi0,                Chi0n,                Chi0v,                 Chi1,                Chi1n,                Chi1v,                Chi2n,                Chi2v,                Chi3n,                Chi3v,                Chi4n,                Chi4v,        HallKierAlpha,                  Ipc,               Kappa1,               Kappa2,               Kappa3,            LabuteASA,            PEOE_VSA1,           PEOE_VSA10,           PEOE_VSA11,           PEOE_VSA12,           PEOE_VSA13,           PEOE_VSA14,            PEOE_VSA2,            PEOE_VSA3,            PEOE_VSA4,            PEOE_VSA5,            PEOE_VSA6,            PEOE_VSA7,            PEOE_VSA8,            PEOE_VSA9,             SMR_VSA1,            SMR_VSA10,             SMR_VSA2,             SMR_VSA3,             SMR_VSA4,             SMR_VSA5,             SMR_VSA6,             SMR_VSA7,             SMR_VSA8,             SMR_VSA9,           SlogP_VSA1,          SlogP_VSA10,          SlogP_VSA11,          SlogP_VSA12,           SlogP_VSA2,           SlogP_VSA3,           SlogP_VSA4,           SlogP_VSA5,           SlogP_VSA6,           SlogP_VSA7,           SlogP_VSA8,           SlogP_VSA9,          EState_VSA1,         EState_VSA10,         EState_VSA11,          EState_VSA2,          EState_VSA3,          EState_VSA4,          EState_VSA5,          EState_VSA6,          EState_VSA7,          EState_VSA8,          EState_VSA9,          VSA_EState1,         VSA_EState10,          VSA_EState2,          VSA_EState3,          VSA_EState4,          VSA_EState5,          VSA_EState6,          VSA_EState7,          VSA_EState8,          VSA_EState9,         FractionCSP3,       HeavyAtomCount,            NHOHCount,              NOCount,  NumAliphaticCarbocycles,  NumAliphaticHeterocycles,    NumAliphaticRings,  NumAromaticCarbocycles,  NumAromaticHeterocycles,     NumAromaticRings,        NumHAcceptors,           NumHDonors,       NumHeteroatoms,    NumRotatableBonds,  NumSaturatedCarbocycles,  NumSaturatedHeterocycles,    NumSaturatedRings,            RingCount,                MolMR,            fr_Al_COO,             fr_Al_OH,      fr_Al_OH_noTert,               fr_ArN,            fr_Ar_COO,              fr_Ar_N,             fr_Ar_NH,             fr_Ar_OH,               fr_COO,              fr_COO2,               fr_C_O,         fr_C_O_noCOO,               fr_C_S,             fr_HOCCN,             fr_Imine,               fr_NH0,               fr_NH1,               fr_NH2,               fr_N_O,    fr_Ndealkylation1,    fr_Ndealkylation2,         fr_Nhpyrrole,                fr_SH,          fr_aldehyde,   fr_alkyl_carbamate,      fr_alkyl_halide,      fr_allylic_oxid,             fr_amide,           fr_amidine,           fr_aniline,       fr_aryl_methyl,             fr_azide,               fr_azo,          fr_barbitur,           fr_benzene,    fr_benzodiazepine,          fr_bicyclic,             fr_diazo,   fr_dihydropyridine,           fr_epoxide,             fr_ester,             fr_ether,             fr_furan,           fr_guanido,           fr_halogen,           fr_hdrzine,           fr_hdrzone,         fr_imidazole,             fr_imide,           fr_isocyan,       fr_isothiocyan,            fr_ketone,    fr_ketone_Topliss,            fr_lactam,           fr_lactone,           fr_methoxy,        fr_morpholine,           fr_nitrile,             fr_nitro,        fr_nitro_arom,  fr_nitro_arom_nonortho,           fr_nitroso,           fr_oxazole,             fr_oxime,  fr_para_hydroxylation,            fr_phenol,  fr_phenol_noOrthoHbond,         fr_phos_acid,        fr_phos_ester,         fr_piperdine,         fr_piperzine,          fr_priamide,      fr_prisulfonamd,          fr_pyridine,             fr_quatN,           fr_sulfide,         fr_sulfonamd,           fr_sulfone,    fr_term_acetylene,         fr_tetrazole,          fr_thiazole,          fr_thiocyan,         fr_thiophene,     fr_unbrch_alkane,              fr_urea, 
          fr_epoxide,  0.01368,  0.23279,  0.28119, -0.01897, -0.05588, -0.03724,  0.43630,  0.24734,  0.26285, -0.17321,  0.27831, -0.00724,  0.00178, -0.08787,  0.08710, -0.05532,  0.14273, -0.07495, -0.04567,  0.08780,  0.09316,  0.10648, -0.00596,  0.10928,  0.27319, -0.00251,  0.00233,  0.02538,  0.09181,  0.02684,  0.18263,  0.07550, -0.01702,  0.01539,  0.03215,  0.04017, -0.02654,  0.04308,  0.10454,  0.14635, -0.01599,  0.02649,  0.28539, -0.01211,  0.02442,  0.16686,  0.23963, -0.00456,  0.22687,  0.69505,  0.13010, -0.18009,  0.05989, -0.04041,  0.02005,  0.00483,  0.97937, -0.09228, -0.03051,  0.22137,  0.27076,  0.23909, -0.03341,  0.08930, -0.03873,  0.20846,  0.04364, -0.00724, -0.14112,  0.15160,  0.00723,  0.18601, -0.01045,  0.02012, -0.04825,  0.09539, -0.00798, -0.10338,  0.77928,  0.00048, -0.09509, -0.00724,  0.03556, -0.06698,  0.41021, -0.08500, -0.00717,  0.29473,  0.00798, -0.01293,  0.02048, -0.00724,  0.15000, -0.03620,  0.20373, -0.04312,  0.08844, -0.08053,  0.16268, -0.00737,  0.37681,  0.22114,  0.17270,  0.08395,  0.24842, -0.05160,  0.10260,  0.07086,  0.08627, -0.01020,  0.30054, -0.01521,  0.04832,  0.09678, -0.00448, -0.15284, -0.11811,  0.00448,  0.18940,  0.16006, -0.04751,  0.20724,  0.38362,  0.21961, -0.17412, -0.03608,  0.05230,  0.04800, -0.08089,  0.01192,  0.25986,  0.04918, -0.06764,  0.38388, -0.07131, -0.02417, -0.07636,  0.10576,  0.06041,  0.04471,  0.24471,  0.06455, -0.00592, -0.06440, -0.01828, -0.15869,  0.08165,  0.34368,  0.06435,  0.22326,  0.30562,  0.08554,  1.00000,  0.77734, -0.05572,  0.97007, -0.07073, -0.05508,  0.07706,  0.19086, -0.00753, -0.00176, -0.01566,  0.07487, -0.09547, -0.05636, -0.00487,  0.23041,  0.24100,  0.18979,  0.24564, -0.00724,  0.08707,  0.29861, -0.04659, -0.00721,  0.55628,  0.13771, -0.15407,  0.00765,  0.25263, -0.10899,  0.22321,  0.17259,  0.16829,  0.10397,  0.05940,  0.05069,  0.05439,  0.01955, -0.00484,  0.02998,  0.08160,  0.01377,  0.10915, -0.00580,  0.18831,  0.07927, 
            fr_ester,  0.03019,  0.19385,  0.21275, -0.01668, -0.04313, -0.03319,  0.36866,  0.56958,  0.20057, -0.15368,  0.22494, -0.01087,  0.06713,  0.31153,  0.07273, -0.05714,  0.11903,  0.32471, -0.05057,  0.07314,  0.04372,  0.49355, -0.00686,  0.49035,  0.20116, -0.02632, -0.02757,  0.00753,  0.11204,  0.19570,  0.15314,  0.35044,  0.18464,  0.00239,  0.00895,  0.02274,  0.36969,  0.51068,  0.07037,  0.09420,  0.00481,  0.01434,  0.20435, -0.02471,  0.01026,  0.59468,  0.18577, -0.01501,  0.17651,  0.54084,  0.09091, -0.15189,  0.04463, -0.02087,  0.01079, -0.01429,  0.76317, -0.07966, -0.02863,  0.67583,  0.23852,  0.70475, -0.03611,  0.07410, -0.04083,  0.15314,  0.02592, -0.01087, -0.12253,  0.08022,  0.02817,  0.14544, -0.01422, -0.00478, -0.04833,  0.06548, -0.01748, -0.06944,  0.99344, -0.01602, -0.08438, -0.01087,  0.02043, -0.07232,  0.32532, -0.07618, -0.01082,  0.23237,  0.01981, -0.01615, -0.00147, -0.01087,  0.09192, -0.04383,  0.15536, -0.02782,  0.07105, -0.07999,  0.53415, -0.01102,  0.69435,  0.62685,  0.12952,  0.06701,  0.17045, -0.04784,  0.05421,  0.04418,  0.06046, -0.02488,  0.24475, -0.01861,  0.05314,  0.04027,  0.40620, -0.13118, -0.08054, -0.01938,  0.18763,  0.12275, -0.03531,  0.18947,  0.30230,  0.20163, -0.14316, -0.03468,  0.02032,  0.03137, -0.05731,  0.02344,  0.20186,  0.05558, -0.06555,  0.28641, -0.05804, -0.02549, -0.07929,  0.10550,  0.05579,  0.39720,  0.21476,  0.03661, -0.01007, -0.04395,  0.00325, -0.12318,  0.06207,  0.28127,  0.04703,  0.17443,  0.21589,  0.05551,  0.77734,  1.00000, -0.03641,  0.75587,  0.22876, -0.07081,  0.27560,  0.14379,  0.02463,  0.01430,  0.00027,  0.04134,  0.28275,  0.08326, -0.01330,  0.16654,  0.18373,  0.14201,  0.66641, -0.01087,  0.08252,  0.24098, -0.03699, -0.01085,  0.43433,  0.66579, -0.13954, -0.00006,  0.20445, -0.09941,  0.59721,  0.59795,  0.61032,  0.64550,  0.48761,  0.58797,  0.56169,  0.29257, -0.00347,  0.35444,  0.35294,  0.51125,  0.60435,  0.00463,  0.64641,  0.56699, 
            fr_ether,  0.42865, -0.06517, -0.10998,  0.58680,  0.30859,  0.31957, -0.00154, -0.04603, -0.04077,  0.18521, -0.05634,  0.00097,  0.54262, -0.02451,  0.49728,  0.72002,  0.61801,  0.47234,  0.32544,  0.75234,  0.07446,  0.46338,  0.67403, -0.04521, -0.15642,  0.02461,  0.51161, -0.00312,  0.19496,  0.36267,  0.48858,  0.08209,  0.03894,  0.67144, -0.01563,  0.60896,  0.46243,  0.07963, -0.08759,  0.12432,  0.54054,  0.04693,  0.14511,  0.05572, -0.03838, -0.05838, -0.12317, -0.02579, -0.04129, -0.04789,  0.45284,  0.65622, -0.12247,  0.82742,  0.68938, -0.09544, -0.05359,  0.69807,  0.18512, -0.07249,  0.32028, -0.05732, -0.03755,  0.57957,  0.72008, -0.00306,  0.09212,  0.00097,  0.17372,  0.08251,  0.49365,  0.48234,  0.01291,  0.12903,  0.71378,  0.06505, -0.00913,  0.58449, -0.03386, -0.04979,  0.05395,  0.00097,  0.02423,  0.04169, -0.09731,  0.27556,  0.00145, -0.04771,  0.45751,  0.04259,  0.07919,  0.00097,  0.00235, -0.01384, -0.09208,  0.76561,  0.54714,  0.58979,  0.42897,  0.00085, -0.08217, -0.06444, -0.02067, -0.01214, -0.04597,  0.20914, -0.03535, -0.05174,  0.02601,  0.49858, -0.05694, -0.00083,  0.61433, -0.06086, -0.02059,  0.05740,  0.52285,  0.45282,  0.22362, -0.13003,  0.15497,  0.11355, -0.06649,  0.31443,  0.09481,  0.75165,  0.00826, -0.05500,  0.91342, -0.00444, -0.08361,  0.21622,  0.06413, -0.04622,  0.72683,  0.06461,  0.19929,  0.39637,  0.72636, -0.09392,  0.11396,  0.02584,  0.00784,  0.52057,  0.49087,  0.46089, -0.09091,  0.15290,  0.06966,  0.03580,  0.01051, -0.01592, -0.05572, -0.03641,  1.00000, -0.04937,  0.11761,  0.05201,  0.47315,  0.54035,  0.14333,  0.09989,  0.10909,  0.00663,  0.43740,  0.59970, -0.01067, -0.16383, -0.08109,  0.68269, -0.04929,  0.00097, -0.08854, -0.09257,  0.25043,  0.00097, -0.11545, -0.03102,  0.18584,  0.71854, -0.01622,  0.73003, -0.10274, -0.05597, -0.07567, -0.05987, -0.03524, -0.03653, -0.05111, -0.04457,  0.00008, -0.03471, -0.05127, -0.04040, -0.06685, -0.00071, -0.09816,  0.08495, 
            fr_furan, -0.02885,  0.23480,  0.27574, -0.03772, -0.04659, -0.03997,  0.43128,  0.23818,  0.27301, -0.16332,  0.27372, -0.00723,  0.03753, -0.09529,  0.07809, -0.06181,  0.16137, -0.06092, -0.04933,  0.08369,  0.05470,  0.12396,  0.06226,  0.04675,  0.25016, -0.00669,  0.00518, -0.00157,  0.10696,  0.03264,  0.19069,  0.04419, -0.01866,  0.02518, -0.00202,  0.03243, -0.01547,  0.06181,  0.10730,  0.16455,  0.06509, -0.03623,  0.26921,  0.00052,  0.01083,  0.16600,  0.26811, -0.01030,  0.19782,  0.70721,  0.09644, -0.17946,  0.04768,  0.03347,  0.01014, -0.01525,  0.98450, -0.07548,  0.00696,  0.21161,  0.27137,  0.24381, -0.05002,  0.09682, -0.02714,  0.20088,  0.05215, -0.00723, -0.12837,  0.14883,  0.07328,  0.15387, -0.01058,  0.01827, -0.05070,  0.10966, -0.01354, -0.05303,  0.75946, -0.01216, -0.07581, -0.00723,  0.02044, -0.05435,  0.41268, -0.07975, -0.00717,  0.28909,  0.00787, -0.01353,  0.00984, -0.00723,  0.14545, -0.03609,  0.20869,  0.03941,  0.08505, -0.07813,  0.17251, -0.00741,  0.38490,  0.21540,  0.15017,  0.06381,  0.23933, -0.04920,  0.11303,  0.06387,  0.08957, -0.00220,  0.31812, -0.01453,  0.09607,  0.06556, -0.01407, -0.13456, -0.09304, -0.00809,  0.26912,  0.09733, -0.01406,  0.24352,  0.36563,  0.27418, -0.15274, -0.04961,  0.05999,  0.05055, -0.07685, -0.00453,  0.26706,  0.04830, -0.05549,  0.33782, -0.08157, -0.02612, -0.07349,  0.17879,  0.09982,  0.03075,  0.23307,  0.06740, -0.00618, -0.06886,  0.01910, -0.15402,  0.06179,  0.34845,  0.04284,  0.20430,  0.31926,  0.08788,  0.97007,  0.75587, -0.04937,  1.00000, -0.05742, -0.04766,  0.06987,  0.17181, -0.02674, -0.03156, -0.03097,  0.08096, -0.09665, -0.05602, -0.00770,  0.23877,  0.22982,  0.20275,  0.25692, -0.00723,  0.07182,  0.29929, -0.03927, -0.00720,  0.51232,  0.13306, -0.14046,  0.02015,  0.24372, -0.10526,  0.22111,  0.16466,  0.15554,  0.10444,  0.05300,  0.04809,  0.04394,  0.01615, -0.00497,  0.02552,  0.07270,  0.01115,  0.10219, -0.00622,  0.18400,  0.07806, 
          fr_guanido, -0.00525, -0.02945, -0.10502, -0.03106,  0.16265,  0.15442,  0.00355,  0.30508, -0.03040,  0.10306,  0.05599, -0.00506,  0.03000,  0.32504, -0.01698, -0.00768,  0.06486,  0.73156,  0.21344,  0.00302, -0.04749,  0.35846,  0.06272,  0.38300, -0.03477,  0.01014, -0.03519, -0.02888,  0.06035,  0.11976, -0.00236,  0.21586,  0.16985,  0.00941, -0.02480,  0.02370,  0.74255,  0.38964, -0.05866,  0.04767,  0.18953, -0.07778,  0.05344,  0.40564, -0.04102,  0.36618,  0.02929, -0.03054,  0.33675, -0.04710,  0.03325,  0.17648, -0.09884,  0.15129, -0.02068,  0.49441, -0.06557,  0.42142,  0.57831,  0.36086,  0.15419,  0.39671, -0.03293,  0.02024,  0.01846,  0.73416,  0.03650, -0.00506,  0.01244,  0.01890,  0.15182,  0.06289, -0.00539, -0.02118, -0.00881,  0.73329, -0.01036,  0.17123,  0.22452, -0.04999, -0.00817, -0.00506, -0.04484,  0.73914, -0.07659,  0.01310, -0.00510, -0.04907,  0.15299, -0.00605,  0.55601, -0.00506, -0.05712,  0.18573, -0.04260,  0.13586,  0.08260,  0.37172,  0.31741, -0.00521,  0.27540,  0.33151,  0.62517, -0.04532, -0.07736,  0.01910, -0.06198, -0.01639, -0.03850,  0.13082,  0.01175, -0.00587,  0.20608, -0.09923,  0.56938,  0.70109,  0.13819,  0.32585,  0.13978, -0.11330,  0.02627,  0.08576, -0.03980,  0.12477,  0.02437,  0.03080,  0.52269, -0.02102,  0.14163, -0.00611,  0.00375,  0.03272,  0.02540, -0.09748,  0.00050, -0.00725,  0.22786,  0.29233,  0.17023,  0.28118,  0.28114,  0.23034, -0.00506,  0.33958,  0.35771,  0.55519, -0.03542, -0.00975,  0.63471,  0.65922, -0.00229, -0.00806, -0.07073,  0.22876,  0.11761, -0.05742,  1.00000, -0.03595,  0.13333,  0.02557,  0.00812, -0.01151, -0.00975,  0.33715,  0.31880,  0.11520, -0.01456, -0.08194,  0.05248,  0.02541,  0.35706, -0.00506, -0.06586,  0.24912,  0.71160, -0.00507, -0.08274,  0.55981,  0.09807,  0.23446, -0.09488,  0.00593,  0.28838,  0.49727,  0.34091,  0.44914,  0.38138,  0.48132,  0.43342,  0.22204, -0.00095,  0.27436,  0.25505,  0.43032,  0.39753,  0.00650,  0.35447,  0.39450, 
          fr_halogen,  0.55216, -0.11390, -0.15979, -0.08199,  0.02842,  0.00007, -0.01221, -0.11227,  0.05117,  0.14664, -0.11894, -0.01239,  0.03391,  0.08401, -0.12199,  0.27542, -0.06634, -0.01102, -0.06517, -0.00935,  0.60160, -0.09054,  0.22008,  0.32762, -0.10407,  0.02595, -0.03319, -0.00722,  0.28777, -0.01265, -0.03632,  0.66135, -0.04249,  0.08387,  0.01634,  0.00053,  0.00161,  0.01644,  0.25515, -0.08109,  0.12460,  0.18275,  0.61987, -0.08364,  0.13798,  0.17357, -0.15176, -0.00893, -0.18452, -0.01184, -0.07220, -0.01197,  0.04438,  0.15980, -0.06776, -0.25720, -0.03869,  0.01991,  0.13422,  0.07326,  0.05257,  0.00585, -0.04572, -0.06281, -0.06137, -0.02868, -0.00024, -0.01240,  0.16734, -0.03054,  0.02408, -0.06866, -0.01724, -0.01657,  0.22917, -0.08961, -0.06399,  0.21250, -0.08354,  0.00337,  0.21228, -0.01240,  0.02775,  0.04338, -0.33164,  0.02174, -0.01256, -0.14157,  0.09345, -0.01613,  0.19792, -0.01240,  0.42773, -0.02572, -0.02431,  0.27173, -0.07400,  0.03632, -0.01213, -0.01223, -0.03112, -0.07541, -0.11618, -0.08363, -0.18542, -0.01646, -0.13696, -0.10134, -0.13458,  0.37889, -0.21271, -0.02223,  0.05332,  0.15181, -0.07282,  0.09018,  0.19726,  0.08478,  0.01517,  0.42135,  0.34805, -0.00322, -0.16967, -0.05542,  0.04109,  0.17011, -0.13917, -0.11023,  0.01708,  0.24039,  0.07651,  0.72201, -0.04601,  0.12572, -0.06599, -0.02084, -0.02391, -0.01426, -0.02158, -0.05780, -0.09736, -0.28397, -0.01081, -0.03958,  0.03464,  0.09173, -0.10084,  0.31322,  0.00231, -0.09469,  0.38111, -0.07118, -0.05508, -0.07081,  0.05201, -0.04766, -0.03595,  1.00000,  0.05598, -0.07093,  0.68937,  0.64709,  0.65504, -0.15428,  0.03000, -0.04706,  0.02519, -0.06595, -0.00145, -0.04518, -0.01067, -0.01240,  0.07731, -0.14403, -0.05478, -0.01242, -0.17448, -0.09303,  0.11751, -0.03711,  0.07362, -0.02611, -0.08346, -0.07360,  0.00459, -0.06191, -0.07071, -0.04375, -0.05856, -0.07261, -0.01307, -0.06985, -0.05864, -0.07369, -0.08247, -0.01362,  0.03205, -0.07750, 
          fr_hdrzine,  0.43746, -0.07896,  0.02032,  0.43544,  0.11975,  0.11366, -0.10133,  0.16164, -0.00687,  0.26181, -0.06848,  0.58094,  0.29298,  0.63130,  0.41613,  0.66863,  0.40008,  0.46602,  0.76290,  0.52923,  0.11007,  0.60759,  0.46923,  0.25455, -0.15083,  0.20695,  0.51048,  0.57933,  0.01934,  0.42487,  0.37480,  0.21524,  0.62274,  0.58475,  0.01220,  0.51405,  0.42622,  0.19865, -0.01580,  0.02439, -0.00223,  0.32839, -0.02959,  0.49000,  0.57381,  0.29048, -0.07050,  0.56191, -0.07291,  0.03452,  0.32295,  0.59676,  0.00825,  0.31241,  0.52921, -0.01710,  0.08029,  0.46028, -0.03161,  0.29186, -0.09737,  0.30581,  0.52652,  0.41058,  0.54135, -0.02961, -0.04179,  0.58094,  0.11026, -0.08031,  0.00239,  0.28625,  0.58997,  0.63716,  0.46534, -0.08228,  0.42808,  0.07797,  0.25931,  0.53642, -0.09923,  0.58094, -0.01440,  0.13165, -0.05172,  0.75055,  0.58141, -0.08442, -0.02978,  0.61266, -0.01146,  0.58094,  0.07727,  0.54599, -0.07798,  0.36422,  0.45953,  0.44717,  0.60439,  0.58103,  0.49051,  0.40939, -0.13294, -0.03401,  0.08831,  0.71080,  0.28074, -0.07481,  0.10896,  0.09457, -0.13408,  0.58054,  0.01446,  0.21120,  0.15823,  0.05399,  0.14640,  0.45110, -0.02339,  0.03331, -0.00830, -0.04900, -0.03434, -0.01615, -0.04110,  0.39359, -0.05460, -0.06708,  0.45398,  0.15709,  0.00508,  0.09822, -0.05152,  0.49500,  0.58873,  0.61954,  0.65994, -0.03379,  0.44938,  0.17269,  0.03625, -0.12343,  0.58803,  0.03165,  0.06429,  0.24476, -0.10141,  0.12220, -0.09228, -0.07173,  0.31104, -0.08150,  0.07706,  0.27560,  0.47315,  0.06987,  0.13333,  0.05598,  1.00000,  0.41558,  0.08880,  0.16376,  0.09725,  0.01295,  0.63816,  0.81602,  0.59124, -0.02413, -0.03720,  0.46538,  0.29185,  0.58094, -0.10144, -0.06023, -0.00579,  0.58097, -0.00968,  0.29455,  0.27374,  0.51798,  0.05331,  0.62275,  0.21914,  0.24586,  0.26499,  0.33116,  0.37490,  0.36811,  0.33387,  0.44627,  0.58572,  0.65397,  0.54144,  0.57223,  0.31310,  0.59135,  0.28558,  0.40502, 
          fr_hdrzone,  0.34532,  0.28581, -0.09467,  0.73083,  0.09695,  0.10224,  0.22782,  0.34004,  0.28335, -0.10289,  0.11453, -0.00778,  0.41395, -0.05768,  0.72616,  0.59668,  0.78557,  0.40212,  0.32655,  0.70430,  0.02118,  0.54581,  0.64305,  0.01269,  0.14479,  0.10108,  0.57233, -0.02641,  0.01954,  0.50307,  0.80337,  0.04343, -0.00756,  0.66809,  0.34360,  0.86090,  0.39778,  0.01165, -0.08103,  0.20527,  0.06933, -0.16034,  0.16484, -0.08845, -0.01422,  0.15988,  0.12393, -0.03045,  0.22576,  0.12171,  0.83799,  0.41413,  0.16696,  0.44843,  0.70689, -0.01742,  0.17671,  0.55807,  0.07200, -0.02371,  0.24995,  0.00035, -0.10240,  0.83407,  0.65022,  0.10100,  0.09048, -0.00778, -0.13395,  0.15480,  0.09675,  0.86842,  0.00152,  0.25450,  0.63560,  0.08122, -0.00380, -0.01241,  0.16350, -0.04563, -0.02906, -0.00778, -0.06857, -0.08820,  0.11011,  0.20235, -0.00737,  0.05267,  0.09013,  0.03049, -0.02845, -0.00778,  0.03932,  0.09275,  0.19561,  0.51081,  0.82071,  0.65872,  0.42653, -0.00800, -0.04138, -0.06098,  0.13457,  0.15379,  0.09291,  0.14941, -0.07132, -0.03100,  0.13053,  0.02100,  0.25266, -0.01451,  0.12242,  0.03171,  0.10899, -0.04448, -0.05912,  0.53569,  0.28593,  0.02885, -0.06527,  0.27645,  0.26984,  0.28140, -0.00290,  0.39018,  0.19355,  0.06642,  0.58928, -0.14445,  0.03651,  0.03304, -0.10297,  0.04908,  0.60083,  0.09492,  0.15365,  0.19121,  0.70436,  0.18335,  0.21534,  0.08080,  0.00030,  0.07842,  0.17609, -0.09232, -0.02360,  0.01895,  0.01044,  0.10283,  0.06530,  0.25830,  0.19086,  0.14379,  0.54035,  0.17181,  0.02557, -0.07093,  0.41558,  1.00000, -0.08277, -0.06445, -0.10050,  0.35150,  0.33300,  0.60955, -0.02103,  0.10144,  0.08734,  0.66769, -0.01036, -0.00778,  0.08289,  0.42865,  0.14091, -0.00782,  0.12544,  0.05876, -0.09015,  0.69850, -0.05088,  0.62232,  0.13487,  0.13547,  0.12531,  0.07754,  0.24465,  0.13266,  0.17131,  0.21008, -0.00654,  0.07421,  0.20661,  0.09705,  0.15109, -0.00091,  0.13035,  0.29838, 
        fr_imidazole,  0.70025, -0.09303, -0.01190, -0.11626,  0.05100,  0.02975, -0.20648, -0.11007,  0.05651,  0.14169, -0.13305,  0.04096,  0.36002,  0.05308, -0.15230,  0.25501, -0.09658, -0.01169, -0.03235, -0.06646,  0.40243, -0.09374,  0.11387,  0.45205, -0.07044, -0.00937, -0.08562,  0.14215,  0.54006, -0.05613, -0.10750,  0.75089,  0.02566,  0.02353, -0.01394, -0.03442, -0.00046,  0.10923,  0.45237, -0.09068,  0.24887,  0.16253,  0.58213,  0.04800,  0.19835,  0.08572, -0.06212,  0.05414, -0.13339, -0.12546, -0.10895,  0.09756, -0.00801,  0.20569, -0.07933, -0.11580,  0.03188, -0.01514,  0.01411, -0.02969,  0.09737, -0.04220,  0.05219, -0.11129, -0.07090, -0.08734,  0.03273,  0.04095,  0.09864, -0.15239,  0.08153, -0.09374,  0.03632, -0.00030,  0.02072, -0.07467, -0.02093,  0.32245, -0.00120,  0.08105,  0.03882,  0.04095, -0.06010,  0.01703, -0.25693,  0.05470,  0.04097, -0.03284,  0.12413,  0.03994,  0.24855,  0.04095,  0.17775,  0.01332, -0.08116,  0.21798, -0.08157,  0.00896, -0.03248,  0.04128, -0.07087, -0.04398, -0.12077, -0.09722, -0.15139,  0.04083, -0.11775, -0.09973, -0.16703,  0.30429, -0.23389,  0.03875,  0.15220,  0.04810, -0.05733,  0.04976,  0.35451,  0.03122,  0.00808,  0.53867,  0.44440, -0.00781, -0.12441, -0.00567,  0.03331,  0.28626, -0.12169, -0.09282,  0.05783,  0.58586, -0.00875,  0.79754,  0.10920,  0.28805, -0.02374,  0.03102,  0.01413,  0.07053, -0.02301, -0.05909, -0.13007, -0.29314,  0.04251,  0.05837,  0.13052,  0.21165, -0.08471,  0.35032,  0.06039, -0.01945,  0.28593, -0.04366, -0.00753,  0.02463,  0.14333, -0.02674,  0.00812,  0.68937,  0.08880, -0.08277,  1.00000,  0.91690,  0.95768, -0.15756,  0.04440, -0.03217,  0.08651, -0.04949, -0.04666, -0.05365, -0.07065,  0.04095, -0.07150, -0.15451, -0.01790,  0.04097,  0.00210, -0.07521,  0.10658, -0.06425,  0.02916, -0.03905, -0.13900, -0.10912, -0.08295, -0.09756, -0.07738, -0.06985, -0.07859, -0.06023,  0.03949, -0.04200, -0.04680, -0.06566, -0.10298,  0.03784,  0.06775, -0.10024, 
            fr_imide,  0.65539, -0.10889, -0.00156, -0.09711, -0.02042, -0.01810, -0.19451, -0.09860,  0.03653,  0.12758, -0.13789,  0.18596,  0.27797,  0.15548, -0.12888,  0.29548, -0.08207, -0.01900,  0.10830, -0.08513,  0.49324, -0.10969,  0.06501,  0.49730, -0.04801, -0.00019, -0.04633,  0.27923,  0.40555, -0.05102, -0.09605,  0.69399,  0.15362, -0.00044, -0.00165, -0.05314, -0.01570,  0.08324,  0.42326, -0.07671,  0.19757,  0.21280,  0.59384,  0.13763,  0.35144,  0.05566, -0.03837,  0.22228, -0.11605, -0.09796, -0.12728,  0.07134, -0.03435,  0.16738, -0.08166, -0.05686,  0.03522, -0.04428, -0.00988, -0.01731,  0.04880, -0.03460,  0.20437, -0.11261, -0.06103, -0.06141,  0.01056,  0.18595,  0.02270, -0.10528,  0.07291, -0.10810,  0.18264,  0.14414,  0.00827, -0.05030,  0.09935,  0.26088, -0.01032,  0.25725,  0.06481,  0.18595,  0.00145,  0.01949, -0.23316,  0.17861,  0.18596, -0.00709,  0.05001,  0.18609,  0.28873,  0.18595,  0.18820,  0.16338, -0.00305,  0.17214, -0.06271, -0.02515, -0.03161,  0.18632, -0.01136, -0.02345, -0.11536, -0.05744, -0.13750,  0.18069, -0.02403, -0.07595, -0.09837,  0.30184, -0.20820,  0.18574,  0.12506,  0.05398, -0.05095,  0.00369,  0.30787,  0.04396, -0.03233,  0.61574,  0.43585, -0.02242, -0.15944, -0.02255,  0.01210,  0.20013, -0.10365, -0.08104,  0.05507,  0.67369, -0.02201,  0.78145,  0.10183,  0.37038, -0.04419,  0.17385,  0.15887,  0.03068, -0.03252, -0.04042, -0.15233, -0.24148,  0.18756,  0.03885,  0.08089,  0.19396, -0.07652,  0.19584,  0.04362, -0.08056,  0.27364, -0.04649, -0.00176,  0.01430,  0.09989, -0.03156, -0.01151,  0.64709,  0.16376, -0.06445,  0.91690,  1.00000,  0.96213, -0.13285,  0.12979,  0.04613,  0.23539, -0.01552, -0.04236, -0.06011, -0.05562,  0.18595, -0.03791, -0.14899, -0.06253,  0.18597, -0.07094, -0.07207,  0.11783, -0.07395,  0.03943,  0.00447, -0.12772, -0.09412, -0.05503, -0.08835, -0.01529, -0.05545, -0.06019,  0.03289,  0.18499,  0.07889,  0.05785,  0.01252, -0.09157,  0.18414,  0.06985, -0.08919, 
